video_path,text,num_frames,height,width,flow
/data/shuaizhang/DATA/training_512_17/0002b126b0a8a685.mp4,Room,17,512,512,1.6115995645523071
/data/shuaizhang/DATA/training_512_17/000465ebe46a98d2.mp4,Room,17,512,512,5.34314489364624
/data/shuaizhang/DATA/training_512_17/0006e8e3eaa8cd39.mp4,Room,17,512,512,13.612448692321777
/data/shuaizhang/DATA/training_512_17/000d2139ad05dc85.mp4,Room,17,512,512,7.640811443328857
/data/shuaizhang/DATA/training_512_17/0010533d5f176d7b.mp4,Room,17,512,512,1.5917984247207642
/data/shuaizhang/DATA/training_512_17/001573921974bc70.mp4,Room,17,512,512,3.508715867996216
/data/shuaizhang/DATA/training_512_17/001c43a59a9e0b16.mp4,Room,17,512,512,1.0451654195785522
/data/shuaizhang/DATA/training_512_17/0020e1f0ec424295.mp4,Room,17,512,512,7.962926864624023
/data/shuaizhang/DATA/training_512_17/0023bb285c3d0e11.mp4,Room,17,512,512,7.263215065002441
/data/shuaizhang/DATA/training_512_17/0027e46f749ac7ec.mp4,Room,17,512,512,11.516854286193848
/data/shuaizhang/DATA/training_512_17/002bdb7ee61c492b.mp4,Room,17,512,512,5.67529821395874
/data/shuaizhang/DATA/training_512_17/0033718a869b4d17.mp4,Room,17,512,512,9.278848648071289
/data/shuaizhang/DATA/training_512_17/00399697cc95c81e.mp4,Room,17,512,512,1.2605448961257935
/data/shuaizhang/DATA/training_512_17/00407b3f1bad1493.mp4,Room,17,512,512,3.5221006870269775
/data/shuaizhang/DATA/training_512_17/00418328841b51e6.mp4,Room,17,512,512,7.333466053009033
/data/shuaizhang/DATA/training_512_17/00454b8bf9209de8.mp4,Room,17,512,512,8.628765106201172
/data/shuaizhang/DATA/training_512_17/0049c83bad21bbdf.mp4,Room,17,512,512,1.538466453552246
/data/shuaizhang/DATA/training_512_17/004c65679ce85f03.mp4,Room,17,512,512,6.528879642486572
/data/shuaizhang/DATA/training_512_17/004ed278c2b168f1.mp4,Room,17,512,512,1.6424702405929565
/data/shuaizhang/DATA/training_512_17/0051ae563152ac76.mp4,Room,17,512,512,0.5450170040130615
/data/shuaizhang/DATA/training_512_17/00559a2a16636897.mp4,Room,17,512,512,1.6775826215744019
/data/shuaizhang/DATA/training_512_17/0059080010e0a279.mp4,Room,17,512,512,6.179935932159424
/data/shuaizhang/DATA/training_512_17/005b68f45317a0b5.mp4,Room,17,512,512,3.3615872859954834
/data/shuaizhang/DATA/training_512_17/00611063bacaa167.mp4,Room,17,512,512,8.08635139465332
/data/shuaizhang/DATA/training_512_17/00664b826ec082e8.mp4,Room,17,512,512,9.697341918945312
/data/shuaizhang/DATA/training_512_17/0069fbbde9f77bf8.mp4,Room,17,512,512,5.484133720397949
/data/shuaizhang/DATA/training_512_17/006f24f8fa62a3b7.mp4,Room,17,512,512,13.858711242675781
