video_path,text,num_frames,height,width,flow
./train_sample/004dd4b46a06e5be.mp4,scenery,17,512,512,3.529723644
./train_sample/004e9db3337e8206.mp4,scenery,17,512,512,3.529723644
./train_sample/005dd9a58df1ba3c.mp4,scenery,17,512,512,3.529723644
./train_sample/0068e97c1c1f61aa.mp4,scenery,17,512,512,3.529723644
./train_sample/004334c94bbc8bd5.mp4,scenery,17,512,512,3.529723644
./train_sample/004dd4b46a06e5be.mp4,scenery,17,512,512,3.529723644
./train_sample/004e9db3337e8206.mp4,scenery,17,512,512,3.529723644
./train_sample/005dd9a58df1ba3c.mp4,scenery,17,512,512,3.529723644
./train_sample/0068e97c1c1f61aa.mp4,scenery,17,512,512,3.529723644
./train_sample/004334c94bbc8bd5.mp4,scenery,17,512,512,3.529723644
./train_sample/004dd4b46a06e5be.mp4,scenery,17,512,512,3.529723644
./train_sample/004e9db3337e8206.mp4,scenery,17,512,512,3.529723644
./train_sample/005dd9a58df1ba3c.mp4,scenery,17,512,512,3.529723644
./train_sample/0068e97c1c1f61aa.mp4,scenery,17,512,512,3.529723644
./train_sample/004334c94bbc8bd5.mp4,scenery,17,512,512,3.529723644
